AIRPORT_ID,YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,field1,FL_DATE,DurationofEvent,DurationinMinutes
1412,2018,1,22,1/22/2018,MQ,20398,MQ,N530EA,3588,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1840,1843,3,3,0,0,1800-1859,30,1913,0,,0,65,93,54,1,177,1,1,0,28,0,2,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1488,2018,1,22,1/22/2018,MQ,20398,MQ,N658AE,3648,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2035,2119,44,44,1,2,2000-2059,18,2137,0,,0,66,67,41,1,234,1,0,0,1,0,44,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1497,2018,1,22,1/22/2018,MQ,20398,MQ,N524AE,3651,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,825,900,35,35,1,2,0800-0859,31,931,0,,0,100,106,72,1,607,3,35,0,6,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1560,2018,1,22,1/22/2018,MQ,20398,MQ,N696AE,3277,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,855,914,19,19,1,1,0800-0859,14,928,0,,0,96,106,82,1,409,2,0,2,10,0,17,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1576,2018,1,22,1/22/2018,MQ,20398,MQ,N251NN,3288,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2029,2126,57,57,1,3,2000-2059,20,2146,0,,0,123,116,91,1,585,3,10,0,0,0,40,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1601,2018,1,22,1/22/2018,MQ,20398,MQ,N223NN,3311,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1705,1806,61,61,1,4,1700-1759,23,1829,0,,0,111,118,85,1,522,3,0,0,7,0,61,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1614,2018,1,22,1/22/2018,MQ,20398,MQ,N648AE,3318,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,735,745,10,10,0,0,0700-0759,28,813,0,,0,105,125,93,1,522,3,0,10,20,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1628,2018,1,22,1/22/2018,MQ,20398,MQ,N543EA,3324,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2138,2155,17,17,1,1,2100-2159,21,2216,0,,0,71,84,54,1,296,2,0,17,13,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1635,2018,1,22,1/22/2018,MQ,20398,MQ,N536EA,3328,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,909,937,28,28,1,1,0900-0959,22,959,0,,0,79,75,46,1,296,2,0,0,0,0,24,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1643,2018,1,22,1/22/2018,MQ,20398,MQ,N250NN,3330,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,735,917,102,102,1,6,0700-0759,15,932,0,,0,169,189,155,1,925,4,0,6,20,0,96,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1648,2018,1,22,1/22/2018,MQ,20398,MQ,N263NN,3332,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2149,2240,51,51,1,3,2100-2159,15,2255,0,,0,56,50,31,1,137,1,0,0,0,0,45,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1677,2018,1,22,1/22/2018,MQ,20398,MQ,N263NN,3358,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,719,738,19,19,1,1,0700-0759,39,817,0,,0,125,148,100,1,606,3,0,19,23,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1692,2018,1,22,1/22/2018,MQ,20398,MQ,N504AE,3365,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,845,935,50,50,1,3,0800-0859,17,952,0,,0,92,83,62,1,474,2,0,41,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1707,2018,1,22,1/22/2018,MQ,20398,MQ,N688AE,3752,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1515,1556,41,41,1,2,1500-1559,28,1624,0,,0,54,84,51,1,147,1,0,41,30,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1724,2018,1,22,1/22/2018,MQ,20398,MQ,N263NN,3766,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1700,1808,68,68,1,4,1700-1759,24,1832,0,,0,98,93,61,1,416,2,0,63,0,0,0,1656,54,54,0,1/22/2018,0 days 00:32:00.000000000,32
1746,2018,1,22,1/22/2018,MQ,20398,MQ,N529EA,3781,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,714,757,43,43,1,2,0700-0759,32,829,0,,0,93,102,65,1,416,2,0,43,9,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1807,2018,1,22,1/22/2018,MQ,20398,MQ,N670AE,3808,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,950,1049,59,59,1,3,0900-0959,20,1109,0,,0,103,123,98,1,491,2,59,0,20,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1884,2018,1,22,1/22/2018,MQ,20398,MQ,N908AE,3919,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1150,1305,75,75,1,5,1100-1159,15,1320,0,,0,54,47,29,1,160,1,0,0,0,0,68,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1906,2018,1,22,1/22/2018,MQ,20398,MQ,N670AE,3924,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1820,1857,37,37,1,2,1800-1859,19,1916,0,,0,105,115,93,1,589,3,0,4,10,0,33,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2713,2018,1,22,1/22/2018,YX,20452,YX,N212JQ,5962,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,730,752,22,22,1,1,0700-0759,32,824,0,,0,137,132,91,1,733,3,0,17,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2714,2018,1,22,1/22/2018,YX,20452,YX,N815MD,5982,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1730,1800,30,30,1,2,1700-1759,26,1826,0,,0,140,131,99,1,733,3,11,0,0,0,10,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2715,2018,1,22,1/22/2018,YX,20452,YX,N209JQ,5984,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1830,1913,43,43,1,2,1800-1859,25,1938,0,,0,138,153,122,1,733,3,0,0,15,0,43,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2811,2018,1,22,1/22/2018,AA,19805,AA,N930AN,2323,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1825,1926,61,61,1,4,1800-1859,15,1941,0,,0,114,114,91,1,612,3,3,0,0,0,58,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2848,2018,1,22,1/22/2018,AA,19805,AA,N903NN,1569,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1829,1850,21,21,1,1,1800-1859,34,1924,0,,0,138,152,112,1,867,4,0,0,14,0,21,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2863,2018,1,22,1/22/2018,AA,19805,AA,N903AN,1584,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1855,1908,13,13,0,0,1800-1859,27,1935,0,,0,83,94,62,1,413,2,6,0,11,0,7,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2873,2018,1,22,1/22/2018,AA,19805,AA,N931AM,1611,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,710,711,1,1,0,0,0700-0759,24,735,0,,0,155,169,136,1,802,4,0,1,14,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
2905,2018,1,22,1/22/2018,AA,19805,AA,N961AN,1143,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1845,1903,18,18,1,1,1800-1859,21,1924,0,,0,117,115,91,1,646,3,5,0,9,0,2,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3229,2018,1,22,1/22/2018,MQ,20398,MQ,N245NN,3389,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1010,1012,2,2,0,0,1000-1059,24,1036,0,,0,172,191,158,1,925,4,0,2,19,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3245,2018,1,22,1/22/2018,MQ,20398,MQ,N680AE,3397,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,915,1010,55,55,1,3,0900-0959,19,1029,0,,0,115,116,91,1,622,3,20,0,1,0,35,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3292,2018,1,22,1/22/2018,MQ,20398,MQ,N237NN,3415,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,840,855,15,15,1,1,0800-0859,34,929,0,,0,74,88,49,1,264,2,0,0,14,0,15,,,,0,1/22/2018,0 days 00:32:00.000000000,32
3301,2018,1,22,1/22/2018,MQ,20398,MQ,N658AE,3416,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1005,1021,16,16,1,1,1000-1059,22,1043,0,,0,52,62,36,1,139,1,0,16,10,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
